ID,conversation,summary,sentiment
1,"Customer: I love the packaging of the product.
Agent: Thank you! We’re glad you liked it.
Customer: Makes unboxing fun.
Agent: That’s our goal!",Customer: I love the packaging of the product. Agent: Thank you! We’re glad you liked it. Customer: Makes unboxing fun.,Very Positive 🤩
2,"Customer: I need help tracking my package.
Agent: Sure! Can you provide the order ID?
Customer: Yes, it’s 12345.
Agent: Your package will arrive tomorrow.","Customer: I need help tracking my package. Agent: Sure! Can you provide the order ID?Customer: Yes, it's 12345.Agent: Your package will arrive tomorrow.",Very Negative 😡
3,"Customer: The package I received was missing items.
Agent: Apologies. I will send the missing items immediately.
Customer: Thank you, I was worried.
Agent: You should receive them in 3 days.","Customer: The package I received was missing items. Agent: Apologies. I will send the missing items immediately. Customer: Thank you, I was worried.",Very Negative 😡
4,"Customer: I got the wrong size for my order.
Agent: Apologies. We can replace it with the correct size.
Customer: Great, thank you.
Agent: The correct size will be sent today.","Customer: I got the wrong size for my order. Agent: We can replace it with the correct size. Customer: Great, thank you.",Very Negative 😡
5,"Customer: The product quality was not what I expected.
Agent: Sorry for the disappointment. We can offer a replacement or refund.
Customer: I’ll go with the replacement.
Agent: It will be sent out today.",Customer: The product quality was not what I expected. Agent: Sorry for the disappointment. We can offer a replacement or refund. Customer: I'll go with the replacement.,Very Negative 😡
6,"Customer: I need to cancel my subscription.
Agent: Sure, I can do that for you.
Customer: Thank you.
Agent: Your subscription is now canceled.","Customer: I need to cancel my subscription. Agent: Sure, I can do that for you. Customer: Thank you.Agent: Your subscription is now canceled.",Very Negative 😡
7,"Customer: The app keeps logging me out.
Agent: Sorry for the trouble. Try clearing cache and re-login.
Customer: That worked, thanks!
Agent: Glad it helped!","Customer: The app keeps logging me out. Try clearing cache and re-login. Customer: That worked, thanks!",Very Negative 😡
8,"Customer: The product color doesn’t match the image online.
Agent: Sorry about that. We can send a replacement.
Customer: That would be helpful, thanks.
Agent: Replacement will be shipped today.",Agent: Sorry about that. We can send a replacement. Customer: The product color doesn't match the image online. Agent: Replacement will be shipped today.,Very Negative 😡
9,"Customer: I need help tracking my package.
Agent: Sure! Can you provide the order ID?
Customer: Yes, it’s 12345.
Agent: Your package will arrive tomorrow.","Customer: I need help tracking my package. Agent: Sure! Can you provide the order ID?Customer: Yes, it's 12345.Agent: Your package will arrive tomorrow.",Very Negative 😡
10,"Customer: I got the wrong size for my order.
Agent: Apologies. We can replace it with the correct size.
Customer: Great, thank you.
Agent: The correct size will be sent today.","Customer: I got the wrong size for my order. Agent: We can replace it with the correct size. Customer: Great, thank you.",Very Negative 😡
11,"Customer: I was charged twice for my order. Can you fix this?
Agent: Sorry for the error. I’ve initiated a refund for the extra charge.
Customer: That’s great, thanks for the quick help!
Agent: You’re welcome! The refund will reflect in a few days.",Customer: I was charged twice for my order. Can you fix this?Agent: Sorry for the error. I’ve initiated a refund for the extra charge.,Very Negative 😡
12,"Customer: Your app keeps crashing whenever I try to place an order.
Agent: I’m sorry about that. Have you tried reinstalling the app?
Customer: Yes, but the problem persists.
Agent: We are escalating this issue to our technical team immediately.","Customer: Your app keeps crashing whenever I try to place an order. Agent: I’m sorry about that. Have you tried reinstalling the app?Customer: Yes, but the problem persists.",Very Negative 😡
13,"Customer: I need to cancel my subscription.
Agent: Sure, I can do that for you.
Customer: Thank you.
Agent: Your subscription is now canceled.","Customer: I need to cancel my subscription. Agent: Sure, I can do that for you. Customer: Thank you.Agent: Your subscription is now canceled.",Very Negative 😡
14,"Customer: I was charged twice for my order. Can you fix this?
Agent: Sorry for the error. I’ve initiated a refund for the extra charge.
Customer: That’s great, thanks for the quick help!
Agent: You’re welcome! The refund will reflect in a few days.",Customer: I was charged twice for my order. Can you fix this?Agent: Sorry for the error. I’ve initiated a refund for the extra charge.,Very Negative 😡
15,"Customer: The product color doesn’t match the image online.
Agent: Sorry about that. We can send a replacement.
Customer: That would be helpful, thanks.
Agent: Replacement will be shipped today.",Agent: Sorry about that. We can send a replacement. Customer: The product color doesn't match the image online. Agent: Replacement will be shipped today.,Very Negative 😡
